kayit_id,source_file,degisim_tipi,alan,eski_deger,yeni_deger,gerekce,duzenleme_turu
DKR0261,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0262,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0265,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0266,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0269,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0270,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0271,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0271,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0274,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kafirler,Kafirler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0275,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kafirler,Kafirler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0276,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0276,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0278,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0279,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
